month,recency,frequency,monetary,sessions,recency_days,R_score,F_score,M_score,RFM_score,month_name
1,2017-01-31,713,106248.15,64694,182,1,1,1,111,Jan
2,2017-02-28,733,116111.6,62192,154,1,1,1,111,Feb
3,2017-03-31,993,150224.69999999998,69931,123,1,3,3,133,Mar
4,2017-04-30,959,222767.98,67126,93,2,2,3,223,Apr
5,2017-05-31,1160,135952.0,65371,62,2,3,2,232,May
6,2017-06-30,971,127992.84,63578,32,3,2,2,322,Jun
7,2017-07-31,1072,160739.86,71812,1,3,3,3,333,Jul
8,2017-08-01,45,8890.0,2556,0,3,1,1,311,Aug
