medium,total_sessions,total_transactions,total_revenue,total_bounces,conversion_rate,bounce_rate,avg_order_value,revenue_share
(none),189445,4697.0,716676.81,83288.0,2.479347567895695,43.964211248647366,152.58182031083672,69.65282468545658
organic,173428,1496.0,146596.91,89234.0,0.8626058075973891,51.453052563599876,97.99258689839573,14.247550261406753
cpm,3226,90.0,121005.70999999999,1207.0,2.7898326100433977,37.414755114693115,1344.5078888888888,11.76037704438797
referral,82023,180.0,23344.29,50685.0,0.21945064189312752,61.793643246406496,129.69050000000001,2.268799151986594
cpc,9265,176.0,20732.75,3583.0,1.8996222342147868,38.672423097679435,117.7997159090909,2.0149872032240026
affiliate,9761,6.0,558.67,5563.0,0.061469111771334906,56.992111463989346,93.11166666666666,0.05429636207570889
(not set),112,1.0,11.99,50.0,0.8928571428571428,44.642857142857146,11.99,0.0011652914623798479
